x,y,box type,section,nestbox,longitude,latitude
447796.72,207573.76,GT,B,B1,-1.3088096826272393,51.764811862185475
447805.72,207531.76,GT,B,B2,-1.3086850449859468,51.76443349881888
447845.72,207529.76,GT,B,B3,-1.3081057554477602,51.76441210956566
447845.72,207474.76,GT,B,B4,-1.3081133115500123,51.7639176375235
447829.72,207426.76,GT,B,B5,-1.308351726665546,51.76348746192975
447795.72,207458.76,GT,B,B7,-1.308839954550184,51.76377805112266
447775.72,207477.76,GT,B,B8,-1.3091271261444326,51.76395057154052
447762.72,207546.76,GT,B,B10,-1.3093060195341006,51.764572015756464
447748.72,207573.76,GT,B,B11,-1.3095051657819188,51.76481594784077
447764.69,207643.69,GT,B,B12,-1.3092641812551804,51.76544328774135
447721.72,207648.76,GT,B,B13,-1.3098860975303814,51.76549252441002
447778.72,207683.76,GT,B,B14,-1.3090553967992968,51.76580233887784
447811.72,207658.76,GT,B,B15,-1.308580674185631,51.76557476858198
447829.72,207726.76,GT,B,B16,-1.3083105237753858,51.766184581975786
447895.72,207732.76,GT,B,B18,-1.3073533805400173,51.766232895693655
447946.72,207757.76,GT,B,B20,-1.306610964601195,51.76645330080323
447972.72,207764.76,GT,B,B21,-1.3062332667660235,51.76651401168222
447949.72,207797.76,GT,B,B22,-1.3065619872451628,51.76681266025585
447871.72,207890.76,GT,B,B23,-1.3076794109644019,51.767655425901964
447850.72,207818.76,GT,B,B24,-1.307993598347049,51.767009908389525
447847.72,207781.76,GT,B,B25,-1.3080421523412016,51.76667751950207
447793.72,207785.76,GT,B,B26,-1.3088240540115055,51.76671808239262
447787.72,207749.76,GT,B,B27,-1.3089159335460527,51.766394938977264
447745.72,207696.76,GT,B,B28,-1.3095317695174329,51.765922022457204
447720.72,207711.76,GT,B,B29,-1.3098919536706197,51.76605900474315
447699.72,207701.8,GT,B,B30,-1.310197600286606,51.765971245550006
447707.72,207601.76,GT,B,B31,-1.3100953886451505,51.7650711657065
447671.72,207612.76,GT,B,B32,-1.3106154983299558,51.76517311908416
447656.72,207558.76,GT,B,B33,-1.310840228287362,51.764688911104805
447690.72,207545.76,GT,B,B34,-1.3103493758493878,51.764569147867746
447668.72,207577.76,GT,B,B35,-1.3106637572202837,51.76485870974169
447687.72,207515.76,GT,B,B36,-1.3103969512545541,51.76429969063125
447626.72,207504.76,GT,B,B37,-1.3112822890469793,51.76420597566774
447613.72,207496.76,GT,B,B38,-1.311471740356159,51.76413515537788
447589.54,207473.85,GT,B,B39,-1.3118252154767145,51.76393123584163
447566.31,207446.79,GT,B,B40,-1.312165489754291,51.7636899245181
447521.72,207412.76,GT,B,B42,-1.3128161923263897,51.763387757883955
447567.72,207480.76,GT,B,B43,-1.312140420775006,51.76399520921472
447530.23,207487.25,GT,B,B44,-1.3126827269426224,51.76405673296661
447522.72,207498.76,GT,B,B45,-1.3127899687594693,51.76416084849713
447552.72,207561.8,GT,B,B46,-1.3123466901171923,51.76472506295582
447547.72,207503.76,GT,B,B47,-1.3124270602914614,51.76420368324972
447574.72,207528.76,GT,B,B48,-1.3120324409268451,51.7644261555162
447581.72,207564.76,GT,B,B49,-1.3119260985311043,51.764749216795444
447646.72,207615.76,GT,B,B51,-1.3109773216908476,51.76520221320309
447605.72,207641.76,GT,B,B52,-1.3115678313486832,51.76543944289846
447587.72,207675.76,GT,B,B53,-1.3118239950978403,51.76574664318563
447542.72,207616.76,GT,B,B54,-1.3124840792294665,51.76522002292555
447532.72,207566.76,GT,B,B55,-1.3126357974269722,51.76477134951724
447510.72,207575.76,GT,B,B56,-1.3129533326684752,51.76485412592471
447524.72,207609.76,GT,B,B57,-1.3127458432216168,51.76515861452955
447502.72,207651.76,GT,B,B58,-1.3130588799751495,51.76553807411673
447501.72,207669.76,GT,B,B59,-1.313070914160034,51.7656999860959
447455.72,207705.76,GT,B,B60,-1.3137325266355195,51.766027532201335
447393.72,207609.76,GT,B,B62,-1.3146439491607407,51.765169691755524
447393.72,207640.76,GT,B,B62A,-1.3146397303164303,51.765448394506876
447403.72,207584.76,GT,B,B63,-1.3145024584982616,51.7649440869597
447470.72,207550.76,GT,B,B64,-1.3135363107213103,51.76463275024389
447475.72,207556.76,GT,B,B65,-1.313463046847728,51.76468626979271
447465.72,207511.76,GT,B,B66,-1.3136140720594753,51.76428254709356
447465.72,207469.76,GT,B,B67,-1.3136197962142255,51.76390494981988
447482.72,207455.76,GT,B,B68,-1.313375392698251,51.76377764616953
447523.72,207365.76,GT,B,B69,-1.3127936278593149,51.76296503922658
447547.72,207358.76,GT,B,B70,-1.3124468558544562,51.76290007381559
447568.72,207405.76,GT,B,B71,-1.3121361754759402,51.76332084377831
447604.72,207421.76,GT,B,B72,-1.3116123930933132,51.76346163819579
447758.72,207448.76,GT,B,B75,-1.3093774151914062,51.763691296624806
447677.72,207683.76,GT,B,B76,-1.310518841563028,51.76581092805473
447600.72,207733.76,GT,B,B77,-1.3116277028955066,51.76626698422806
447558.72,207725.76,GT,B,B78,-1.312237363164597,51.7661986216412
447443.72,207758.76,GT,B,B79,-1.3138991813672691,51.766505038385624
447442.72,207741.76,GT,B,B79A,-1.3139159872632602,51.766352285979934
447446.72,207773.76,GT,B,B80,-1.3138536681887683,51.766639640890205
447433.72,207820.76,GT,B,B80A,-1.3140356337038133,51.767063288941394
447516.72,207786.76,GT,B,B81,-1.3128376062436655,51.76675059391333
447596.72,207823.76,GT,B,B84,-1.31167335989911,51.76707645980319
447637.72,207880.76,GT,B,B85,-1.3110714732432074,51.76758543396433
447683.72,207911.8,GT,B,B86,-1.310400676752112,51.76786058936453
447722.72,207967.76,GT,B,B87,-1.3098278886222368,51.768360376919944
447690.72,207999.76,GT,B,B88,-1.3102871973900276,51.76865079000518
447775.72,207982.76,GT,B,B89,-1.3090578408788418,51.76849072326993
447801.72,208023.76,GT,B,B90,-1.308675461253783,51.76885711536442
447964.72,207749.76,GT,B,B91,-1.306351251076065,51.76637983955794
447928.72,207740.76,GT,B,B92,-1.3068741199864986,51.766302001603016
447942.72,207699.76,GT,B,B93,-1.306676908983898,51.76593219961803
447899.72,207709.76,GT,B,B94,-1.3072985855753663,51.76602577519951
447881.72,207674.76,GT,B,B95,-1.3075642111817751,51.76571264728148
447910.72,207638.76,GT,B,B96,-1.3071489682143633,51.76538651810396
447845.72,207605.76,GT,B,B97,-1.3080953139320168,51.76509537995372
447876.72,207609.76,GT,B,B98,-1.3076455951478099,51.765128697968876
447854.72,207583.76,GT,B,B99,-1.3079679332179537,51.7648968238572
447868.72,207555.76,GT,B,B99A,-1.307768932382176,51.76464389880175
447811.72,207581.76,GT,B,B100,-1.3085912458452476,51.764882507779525
447802.72,207554.76,GT,B,B101,-1.308725355267647,51.76464053356902
447821.72,207526.8,GT,B,B102,-1.308453900338449,51.76438754339157
447834.72,207496.76,GT,B,B103,-1.3082696682009716,51.76411636394421
447838.32,207450.9,GT,B,B104,-1.3082238071240775,51.76370375731067
447818.72,207429.76,GT,B,B105,-1.3085106916262994,51.76351537040079
447800.72,207405.76,GT,B,B106,-1.308774784258688,51.76330113396345
447777.74,207455.59,GT,B,B107,-1.3091008998565843,51.76375108235606
447807.72,207495.76,GT,B,B108,-1.3086610086732846,51.76410967400496
447798.72,207514.76,GT,B,B109,-1.3087888020007934,51.7642812581745
447773.72,207567.76,GT,B,B110,-1.3091437580399887,51.76475987799808
447749.72,207600.76,GT,B,B111,-1.3094869744831874,51.76505860362404
447766.72,207641.76,GT,B,B112,-1.3092350324350341,51.76542576349991
447736.72,207671.76,GT,B,B113,-1.3096656028904154,51.76569802801209
447784.72,207706.76,GT,B,B114,-1.308965303404816,51.76600860724985
447806.72,207691.76,GT,B,B115,-1.3086485911913066,51.76587187768855
447853.72,207707.76,GT,B,B116,-1.3079653827690634,51.76601171853784
447847.72,207748.76,GT,B,B117,-1.3080466868136795,51.76638083640095
447876.72,207747.76,GT,B,B118,-1.3076266221459099,51.76636937281419
447917.72,207770.76,GT,B,B119,-1.3070293784398221,51.766572652762186
447972.72,207792.76,GT,B,B121,-1.3062294092350042,51.76676574269711
447907.72,207820.76,GT,B,B122,-1.307167397176845,51.76702302624086
447860.72,207831.76,GT,B,B123,-1.307846912182321,51.76712593080764
447837.72,207800.76,GT,B,B124,-1.3081844403553977,51.76684918952838
447825.72,207780.76,GT,B,B125,-1.308361065867917,51.76667040433605
447801.72,207750.76,GT,B,B126,-1.3087129399490074,51.76640273710897
447741.72,207722.76,GT,B,B127,-1.3095861632910464,51.76615611315247
447731.72,207685.76,GT,B,B128,-1.3097361315208074,51.76582431889028
447715.72,207690.76,GT,B,B129,-1.3099672793375312,51.76587063143273
447703.72,207669.76,GT,B,B130,-1.3101440309636945,51.76568285309005
447699.72,207631.8,GT,B,B131,-1.3102071885575202,51.765341917379715
447691.72,207564.76,GT,B,B133,-1.3103322847496885,51.764739880576464
447697.72,207541.76,GT,B,B134,-1.310248499590497,51.76453259141271
447668.72,207519.76,GT,B,B136,-1.3106716961251816,51.764337266255055
447627.72,207477.76,GT,B,B137,-1.311271492403763,51.763963149826154
447590.72,207502.76,GT,B,B138,-1.3118041679862678,51.76419104848343
447604.85,207443.79,GT,B,B139,-1.3116074983642088,51.763659685865186
447545.19,207427.29,GT,B,B140,-1.3124741569805944,51.763516400958125
447526.72,207414.76,GT,B,B141,-1.3127434754733835,51.76340531535686
447504.72,207456.76,GT,B,B142,-1.3130565002193135,51.76378477501932
447515.72,207445.76,GT,B,B142A,-1.312898622895817,51.76368494939921
447534.72,207473.76,GT,B,B143,-1.3126195125426225,51.76393507209957
447505.72,207485.76,GT,B,B144,-1.3130380556142265,51.7640454122859
447527.72,207497.76,GT,B,B145,-1.3127176600567543,51.76415143471853
447556.72,207510.76,GT,B,B146,-1.3122957030043654,51.764265853610226
447564.72,207496.76,GT,B,B147,-1.3121817025274074,51.764139309992245
447596.72,207543.76,GT,B,B148,-1.3117116303258,51.76455914640367
447634.72,207592.76,GT,B,B149,-1.31115434007,51.764996452485136
447611.72,207617.76,GT,B,B150,-1.3114841759760403,51.765223164209125
447645.72,207634.76,GT,B,B151,-1.3109892115313038,51.76537311578149
447591.72,207643.76,GT,B,B152,-1.3117704101898835,51.76545861103527
447547.72,207642.76,GT,B,B153,-1.3124080824514428,51.76545334994622
447536.72,207584.76,GT,B,B154,-1.3125753835146854,51.76493283809345
447492.72,207530.76,GT,B,B155,-1.313220276021607,51.76445108090087
447509.72,207593.76,GT,B,B156,-1.3129653663169083,51.76501603793149
447520.72,207641.76,GT,B,B157,-1.3127994340045557,51.76544664627124
447532.72,207680.76,GT,B,B158,-1.3126202373789684,51.765796255981826
447479.24,207694.76,GT,B,B159,-1.3133932302189641,51.76592664847849
447455.72,207669.76,GT,B,B160,-1.3137374325214037,51.76570387748554
447430.72,207645.76,GT,B,B161,-1.3141029396371047,51.76549022094938
447425.72,207600.76,GT,B,B162,-1.3141815152240524,51.76508607500012
447469.72,207578.76,GT,B,B163,-1.3135469833364923,51.76488456630444
447438.72,207559.76,GT,B,B164,-1.3139987388180498,51.764716369522695
447457.72,207519.76,GT,B,B165,-1.3137288945232888,51.76435514686896
447460.72,207498.76,GT,B,B166,-1.3136882890281198,51.76416609456515
447496.72,207427.76,GT,B,B168,-1.3131763664196263,51.76352473012828
447515.72,207380.76,GT,B,B169,-1.312907490700674,51.76310057268334
447556.72,207397.76,GT,B,B170,-1.3123111330026027,51.763249937356875
447554.72,207377.76,GT,B,B170A,-1.3123428412488818,51.763070298601654
447580.72,207416.76,GT,B,B171,-1.3119608075576885,51.76341872116416
447621.72,207400.76,GT,B,B172,-1.3113689547699972,51.76327139753374
447745.72,207409.76,GT,B,B173,-1.3095711170932538,51.76334177685961
447714.72,207418.76,GT,B,B174,-1.3100190357581862,51.76342532667092
447753.72,207473.76,GT,B,B175,-1.3094464316603722,51.763916482145966
447668.72,207668.76,GT,B,B176,-1.3106513008688359,51.76567683649581
447592.72,207740.76,GT,B,B177,-1.3117426638318364,51.76633059552163
447526.72,207719.76,GT,B,B178,-1.312701852011682,51.7661473899627
447449.72,207766.76,GT,B,B179,-1.3138111525379705,51.766576454404465
447479.72,207788.76,GT,B,B180,-1.3133734585442045,51.766771706163475
447524.72,207793.76,GT,B,B181,-1.312720731973833,51.766812849362665
447565.72,207801.76,GT,B,B182,-1.312125554031113,51.766881299177015
447566.72,207850.76,GT,B,B183,-1.3121043705366897,51.76732174420819
447608.72,207849.76,GT,B,B184,-1.311495925467752,51.76730919241597
447636.72,207915.76,GT,B,B185,-1.311081175001471,51.76790018287952
447709.72,207935.76,GT,B,B186,-1.3100206482178434,51.76807378953913
447750.36,207960.42,GT,B,B187,-1.3094283814506862,51.76829203623911
447734.72,207987.76,GT,B,B188,-1.3096512622244263,51.76853916426186
447754.72,208029.76,GT,B,B189,-1.3093556930708998,51.76891505931618
447786.72,208094.76,GT,B,B190,-1.3088830741284259,51.7694967109032
447743.72,208050.76,GT,B,B191,-1.3095122093810296,51.76910479360275
447817.72,208064.76,GT,B,B192,-1.3084379818394087,51.769224358374885
447813.72,207992.76,GT,B,B193,-1.308505832115639,51.76857739082337
447875.72,207960.76,GT,B,B194,-1.307611825391166,51.76828441225273
447846.72,207942.76,GT,B,B194A,-1.3080345187828966,51.76812505846026
447788.72,207914.76,GT,B,B195,-1.3088787986720303,51.76787826944263
447723.72,207846.76,GT,B,B196,-1.3098299826979922,51.767272453674906
447740.72,207796.76,GT,B,B197,-1.309590507559891,51.76682148781837
447686.72,207767.76,GT,B,B198,-1.310376932428554,51.76656535718609
447651.72,207728.76,GT,B,B199,-1.3108894122368393,51.76621770432494
447676.72,207730.76,GT,B,B200,-1.31052689625499,51.766233561921965
447485.72,207826.76,GT,B,B201,-1.3132813372737795,51.767112833966806
447661.72,207431.76,GT,B,B203,-1.3107851627223286,51.76354670498351
447919.72,207754.76,GT,B,B204,-1.3070026007066993,51.766428635673265
447877.72,207724.76,GT,B,B205,-1.3076152947481616,51.766162508383395
447433.72,207666.8,GT,B,B206,-1.314056605406949,51.76567912563664
447530.72,207839.76,GT,B,B207,-1.3126275136936274,51.76722589987107
447583.72,207817.76,GT,B,B208,-1.3118625493569502,51.76702361976615
447602.72,207704.76,GT,B,B211,-1.3116026877822595,51.766006092868736
447519.72,207746.76,GT,B,B212,-1.3127995952293374,51.76639072366906
447605.72,207765.76,GT,B,B213,-1.3115508796286304,51.76655425305294
447608.72,207798.76,GT,B,B214,-1.3115028984241779,51.76685068187873
447636.72,207796.76,GT,B,B215,-1.3110974550940804,51.7668303251037
447663.72,207776.76,GT,B,B216,-1.3107089658612963,51.76664822463041
447751.72,207832.76,GT,B,B217,-1.309426182045069,51.76714420633735
447705.72,207763.76,GT,B,B218,-1.310102174300379,51.766527780839084
447605.72,207582.76,GT,B,B219,-1.311575896701996,51.764909008958526
447504.72,207508.76,GT,B,B220,-1.3130494073645178,51.76425227635661
447557.72,207344.76,GT,B,B221,-1.3123038811797096,51.76277336087401
447687.72,207389.22,GT,B,B222,-1.3104142778045615,51.76316204468365
447711.72,207510.76,GT,B,B223,-1.3100498985520868,51.76425269894876
447750.72,207895.76,GT,B,B224,-1.3094320324455586,51.76771068651405
447796.72,207941.76,GT,B,B225,-1.3087591705987138,51.76812032883452
447840.72,208003.76,GT,B,B226,-1.3081130789354771,51.768673984038365
447763.72,208100.76,GT,B,B227,-1.3092155378149817,51.76955261141056
447919.72,207883.76,GT,B,B228,-1.306984847812078,51.767588396534215
447883.72,207856.76,GT,B,B229,-1.3075102049860508,51.76734872872149
446340.33,206937.71,GT,C,C1,-1.329996345090697,51.75921562314759
446343.72,206896.76,GT,C,C2,-1.329952679667014,51.75884718441186
446328.72,206856.76,GT,C,C3,-1.3301753094549877,51.75848880441665
446301.33,206857.71,GT,C,C3A,-1.3305719895858803,51.75849960490589
446269.33,206867.71,GT,C,C3B,-1.3310342544115887,51.75859214759805
446303.72,206821.76,GT,C,C4,-1.3305421427739192,51.75817620105981
446290.72,206782.76,GT,C,C5,-1.330735657581642,51.75782664543446
446262.72,206721.76,GT,C,C6,-1.3311493946862136,51.757280535659945
446247.72,206686.76,GT,C,C7,-1.3313713435591257,51.75696710551817
446240.33,206637.71,GT,C,C8,-1.331484910150779,51.756526732337385
446110.33,206644.71,GT,C,C9,-1.333367248544832,51.75660035683678
446141.33,206711.71,GT,C,C9A,-1.3329092893188117,51.75720017080637
446147.33,206622.71,GT,C,C10,-1.3328341551753016,51.75639952690824
446215.33,206611.71,GT,C,C11,-1.3318505247689163,51.75629503881582
446248.33,206605.71,GT,C,C12,-1.3313732642144136,51.7562383788311
446285.33,206620.71,GT,C,C13,-1.3308352692640149,51.75637018674388
446308.72,206619.76,GT,C,C14,-1.3304965540782347,51.75635971713258
446344.72,206603.76,GT,C,C15,-1.3299771649000012,51.75621289949799
446388.72,206621.76,GT,C,C16,-1.3293373607796686,51.75637109406158
446429.72,206609.76,GT,C,C17,-1.3287450095785867,51.75625981967684
446427.72,206663.76,GT,C,C18,-1.3287667875521805,51.7567454694238
446464.72,206681.76,GT,C,C19,-1.328228379025809,51.75690423669576
446430.72,206728.76,GT,C,C20,-1.3287146657868467,51.75732960060562
446460.72,206724.76,GT,C,C21,-1.3282805923210235,51.75729115703699
446447.33,206843.71,GT,C,C23,-1.3284587144723068,51.758361678788006
446411.72,206819.76,GT,C,C24,-1.3289777950069226,51.758149302481506
446376.72,206875.76,GT,C,C24A,-1.3294773913862448,51.75865565992338
446420.58,206901.9,GT,C,C24B,-1.3288384945935547,51.75888704539195
446386.33,206928.71,GT,C,C24C,-1.329331118321551,51.75913091024164
446429.98,206878.41,GT,C,C25,-1.3287054435366663,51.758675082457295
446394.72,206812.76,GT,C,C26,-1.3292250088434985,51.75808777442394
446387.72,206777.76,GT,C,C27,-1.3293310786952959,51.757773687089255
446413.72,206755.76,GT,C,C28,-1.3289573463485482,51.757573748381354
446386.72,206715.76,GT,C,C29,-1.3293538199759425,51.757216361768855
446387.72,206686.76,GT,C,C30,-1.3293431939610116,51.75695555605994
446370.72,206657.76,GT,C,C31,-1.3295933285670942,51.756696237247745
446322.72,206657.76,GT,C,C32,-1.3302886900433515,51.756700199510156
446313.72,206692.76,GT,C,C33,-1.3304144182084352,51.75701560785366
446319.53,206759.73,GT,C,C34,-1.3303213470263278,51.75761721918306
446323.72,206802.76,GT,C,C34A,-1.3302549255134806,51.75800373263123
446390.33,206939.71,GT,C,C35,-1.3292717037064974,51.75922947465479
446442.72,206961.76,GT,C,C36,-1.3285097639467778,51.75942338243181
446450.72,206913.76,GT,C,C37,-1.3284002632802816,51.75899117913935
446467.72,206931.76,GT,C,C38,-1.3281515762317,51.759151600337574
446491.72,206960.76,GT,C,C39,-1.3278000067834341,51.759410336241196
446482.72,206998.76,GT,C,C40,-1.3279253246573801,51.75975271840008
446495.72,207026.76,GT,C,C41,-1.327733247949189,51.76000337429605
446533.94,207017.58,GT,C,C42,-1.327180752474026,51.75991767523371
446563.72,206999.76,GT,C,C43,-1.3267516900450118,51.7597549962684
446583.72,206987.76,GT,C,C44,-1.326463541337475,51.75964545173514
446597.72,206945.76,GT,C,C45,-1.3262663322385002,51.759266691290435
446606.33,206916.71,GT,C,C46,-1.3261454810290079,51.75900480422173
446632.72,206921.76,GT,C,C47,-1.3257624819717195,51.75904801449935
446661.33,206884.71,GT,C,C48,-1.3253529586741355,51.7587125414405
446609.33,206852.71,GT,C,C49,-1.3261105808594233,51.758429166819674
446617.33,206815.71,GT,C,C50,-1.3259996336290978,51.75809585619004
446497.72,206774.76,GT,C,C51,-1.3277379051053801,51.75773761636059
446553.72,206780.76,GT,C,C52,-1.3269258302066667,51.75778691832706
446554.72,206813.76,GT,C,C53,-1.3269069337205264,51.75808352010845
446580.33,206812.71,GT,C,C54,-1.3265360586796031,51.75807195590825
446567.33,206870.71,GT,C,C55,-1.3267166391106313,51.75859448012978
446528.33,206888.71,GT,C,C56,-1.3272792397638313,51.75875954170185
446488.33,206892.71,GT,C,C57,-1.3278582000443457,51.75879881715678
446431.72,206991.76,GT,C,C58,-1.3286651288188678,51.75969400570399
446421.72,207056.76,GT,C,C59,-1.3288013439099624,51.76027921167277
446397.33,207064.71,GT,C,C60,-1.329153643525624,51.760352702035604
446277.33,206952.71,GT,C,C61,-1.3309070654468589,51.75935567658411
446303.33,206992.71,GT,C,C61A,-1.33052507280534,51.75971315076195
446256.33,206910.71,GT,C,C62,-1.331216880393171,51.75897980827796
446224.33,206926.71,GT,C,C63,-1.3316783553869607,51.75912629116346
446314.33,206940.71,GT,C,C101,-1.330372621382022,51.75924474001541
446317.72,206904.76,GT,C,C102,-1.3303282881425975,51.75892125366198
446340.72,206848.76,GT,C,C103,-1.3300025262704605,51.75841589044154
446287.72,206829.76,GT,C,C104,-1.3307728747080834,51.75824944404424
446268.72,206788.76,GT,C,C105,-1.3310535761599966,51.75788240163232
446229.72,206720.76,GT,C,C106,-1.3316275946851301,51.75727426339533
446221.72,206699.76,GT,C,C107,-1.3317462755525251,51.75708612249059
446255.85,206653.78,GT,C,C108,-1.331257944111597,51.756669930567945
446101.33,206667.71,GT,C,C109,-1.333494585601096,51.756807876456236
446166.33,206677.71,GT,C,C110,-1.332551622513291,51.75689244015456
446227.33,206593.71,GT,C,C111,-1.3316790738458892,51.75613222272604
446254.33,206596.71,GT,C,C112,-1.3312875395668817,51.75615697047207
446283.33,206575.71,GT,C,C113,-1.3308702195902535,51.755965781114874
446322.44,206578.38,GT,C,C114,-1.3303032990254102,51.755986560356156
446351.72,206586.76,GT,C,C115,-1.3298780204756553,51.75605948394546
446404.72,206597.76,GT,C,C116,-1.3291087715376781,51.756154001043015
